"Deployment ID","deployment","Site Number","OG Alternate","Quadrant","Organization","Year","Location","Public Latitude","Public Longitude","Start date","Start time","End date","End time","Camera Make and Model","Unit ID","Lure","Attractant_water","Attractant_linear features","Attractant_open areas"
"ABMI-1167-SW-2017-10-11","ABMI-1167-SW",1167,,"SW","ABMI",2018,"Brûlé",53.38,-117.98,2017-10-11 0:00:00,1899-12-30 17:53:44,2018-7-23 0:00:00,1899-12-30 13:15:29,"RECONYX_PC900",812,"Yes","None","None","Other Natural Funnel"
"ABMI-1181-NE-2018-02-03","ABMI-1181-NE",1181,,"NE","ABMI",2018,"Mulhurst",53.03,-113.84,2018-2-3 0:00:00,1899-12-30 16:37:47,2018-7-3 0:00:00,1899-12-30 13:47:28,"RECONYX_PC900",324,"Yes","None","None","Agriculture Field"
"ABMI-1181-NW-2018-02-04","ABMI-1181-NW",1181,,"NW","ABMI",2018,"Mulhurst",53.03,-113.84,2018-2-4 0:00:00,1899-12-30 11:59:38,2018-7-3 0:00:00,1899-12-30 13:03:12,"RECONYX_PC900",978,"No","None","None","Agriculture Field"
"ABMI-1181-SE-2018-02-03","ABMI-1181-SE",1181,,"SE","ABMI",2018,"Mulhurst",53.03,-113.84,2018-2-3 0:00:00,1899-12-30 18:25:59,2018-7-3 0:00:00,1899-12-30 14:37:18,"RECONYX_PC900",21,"No","None","None","Other Natural Funnel"
"ABMI-1181-SW-2018-02-04","ABMI-1181-SW",1181,,"SW","ABMI",2018,"Mulhurst",53.03,-113.84,2018-2-4 0:00:00,1899-12-30 10:35:34,2018-7-1 0:00:00,1899-12-30 12:20:36,"RECONYX_PC900",624,"Yes","None","None","Pasture"
"ABMI-1182-NE-2018-02-01","ABMI-1182-NE",1182,,"NE","ABMI",2018,"Wetaskiwin",52.96,-113.55,2018-2-1 0:00:00,1899-12-30 11:00:00,2018-7-4 0:00:00,1899-12-30 12:18:47,"RECONYX_PC900",617,"Yes","None","None","Pasture"
"ABMI-1182-NW-2018-02-01","ABMI-1182-NW",1182,,"NW","ABMI",2018,"Wetaskiwin",52.96,-113.55,2018-2-1 0:00:00,1899-12-30 10:01:19,2018-7-4 0:00:00,1899-12-30 12:44:18,"RECONYX_PC900",739,"No","Marsh","None","Agriculture Field"
"ABMI-1182-SE-2018-01-31","ABMI-1182-SE",1182,,"SE","ABMI",2018,"Wetaskiwin",52.96,-113.55,2018-1-31 0:00:00,1899-12-30 17:55:49,2018-7-4 0:00:00,1899-12-30 13:57:19,"RECONYX_PC900",53,"No","Marsh","None","Pasture"
"ABMI-1182-SW-2018-01-31","ABMI-1182-SW",1182,,"SW","ABMI",2018,"Wetaskiwin",52.96,-113.55,2018-1-31 0:00:00,1899-12-30 16:53:43,2018-6-1 0:00:00,1899-12-30 17:21:07,"RECONYX_PC900",622,"Yes","None","None","Pasture"
"ABMI-1183-NE-2018-02-02","ABMI-1183-NE",1183,,"NE","ABMI",2018,"Wetaskiwin",52.94,-113.24,2018-2-2 0:00:00,1899-12-30 13:46:50,2018-7-5 0:00:00,1899-12-30 13:37:58,"RECONYX_PC900",1052,"Yes","None","None","Agriculture Field"
