deployment,year,Lure
ABMI-1022-NE,2015,y
ABMI-1022-NW,2015,n
ABMI-1022-SE,2015,n
ABMI-1022-SW,2015,y
ABMI-1023-NE,2015,y
ABMI-1023-NW,2015,n
ABMI-1023-SE,2015,n
ABMI-1023-SW,2015,n
ABMI-1024-NE,2015,y
ABMI-1024-NW,2015,n
ABMI-1024-SW,2015,y
ABMI-1025-NE,2017,y
ABMI-1025-NW,2017,y
ABMI-1025-SE,2017,n
ABMI-1025-SW,2017,n
ABMI-1026-NE,2017,y
ABMI-1026-NW,2017,n
ABMI-1026-SE,2017,n
ABMI-1026-SW,2017,y
ABMI-1027-NE,2017,y
ABMI-1027-NW,2017,n
ABMI-1027-NW-b,2017,n
ABMI-1027-SE,2017,n
ABMI-1027-SW,2017,y
ABMI-1028-NE,2018,y
ABMI-1028-NW,2018,n
ABMI-1028-SE,2018,n
ABMI-1028-SW,2018,y
ABMI-1056-NE,2015,y
ABMI-1056-NW,2015,n
ABMI-1056-SE,2015,n
ABMI-1056-SW,2015,y
ABMI-1057-NE,2015,y
ABMI-1057-NW,2015,n
ABMI-1057-SE,2015,n
ABMI-1057-SW,2015,y
ABMI-1058-NE,2015,n
ABMI-1058-NW,2015,y
ABMI-1058-SE,2015,y
ABMI-1058-SW,2015,n
ABMI-1059-NE,2017,y
ABMI-1059-NW,2017,n
ABMI-1059-SE,2017,n
ABMI-1059-SW,2017,y
ABMI-1060-NE,2017,y
ABMI-1060-NW,2017,n
ABMI-1060-SE,2017,n
ABMI-1060-SW,2017,y
ABMI-1061-NE,2017,y
ABMI-1061-NW,2017,n
ABMI-1061-SE,2017,n
ABMI-1061-SW,2017,y
ABMI-1062-NE,2018,y
ABMI-1062-NW,2018,n
ABMI-1062-SE,2018,n
ABMI-1062-SW,2018,y
ABMI-1086-NE,2017,y
ABMI-1086-NW,2017,n
ABMI-1086-SE,2017,n
ABMI-1086-SW,2017,y
ABMI-1088-NE,2017,y
ABMI-1088-NW,2017,n
ABMI-1088-SE,2017,n
ABMI-1088-SW,2017,y
ABMI-1119-NE,2017,y
ABMI-1119-NW,2017,n
ABMI-1119-SE,2017,n
ABMI-1119-SW,2017,y
ABMI-1120-NE,2017,y
ABMI-1120-NW,2017,n
ABMI-1120-SE,2017,n
ABMI-1120-SW,2017,y
ABMI-1121-NE,2017,y
ABMI-1121-NW,2017,n
ABMI-1121-SE,2017,n
ABMI-1121-SW,2017,y
ABMI-1150-NE,2015,y
ABMI-1150-NW,2015,y
ABMI-1150-SE,2015,n
ABMI-1150-SW,2015,n
ABMI-1151-NE,2017,n
ABMI-1151-NW,2017,y
ABMI-1151-SE,2017,n
ABMI-1151-SW,2017,NA
ABMI-1152-NE,2017,n
ABMI-1152-NW,2017,n
ABMI-1152-SE,2017,y
ABMI-1152-SW,2017,y
ABMI-1153-NE,2017,y
ABMI-1153-NW,2017,n
ABMI-1153-SE,2017,n
ABMI-1153-SW,2017,y
ABMI-1166-NE,2018,y
ABMI-1166-NW,2018,n
ABMI-1166-SE,2018,n
ABMI-1166-SW,2018,y
ABMI-1167-NE,2018,y
ABMI-1167-NW,2018,n
ABMI-1167-SE,2018,n
ABMI-1167-SW,2018,y
ABMI-1178-NE,2017,y
ABMI-1178-NW,2017,n
ABMI-1178-SE,2017,n
ABMI-1178-SW,2017,y
ABMI-1179-NE,2017,n
ABMI-1179-NW,2017,n
ABMI-1179-SE,2017,y
ABMI-1179-SW,2017,y
ABMI-1180-NE,2017,y
ABMI-1180-NW,2017,n
ABMI-1180-SE,2017,NA
ABMI-1180-SW,2017,y
