deployment,year,VegHF,SoilHF,VegForDetectionDistance,DeploymentYear
ABMI-1022-NE,2015,CultivationCrop,CultivationCrop,HF,ABMI-1022-NE_2015
ABMI-1022-NW,2015,CultivationCrop,CultivationCrop,HF,ABMI-1022-NW_2015
ABMI-1022-SE,2015,Marsh,Lo,Decid,ABMI-1022-SE_2015
ABMI-1022-SW,2015,CultivationCrop,CultivationCrop,Shrub,ABMI-1022-SW_2015
ABMI-1023-NE,2015,CultivationCrop,CultivationCrop,HF,ABMI-1023-NE_2015
ABMI-1023-NW,2015,Marsh,Lo,Water,ABMI-1023-NW_2015
ABMI-1023-SE,2015,Decid4,Lo,Decid,ABMI-1023-SE_2015
ABMI-1023-SW,2015,GrassHerb,Lo,Grass,ABMI-1023-SW_2015
ABMI-1024-NE,2015,CultivationCrop,CultivationCrop,HF,ABMI-1024-NE_2015
ABMI-1024-NW,2015,TreedFenR,Sy,WetTreed,ABMI-1024-NW_2015
ABMI-1024-SE,2015,CultivationCrop,CultivationCrop,HF,ABMI-1024-SE_2015
ABMI-1024-SW,2015,CultivationCrop,CultivationCrop,HF,ABMI-1024-SW_2015
ABMI-1025-NE,2017,CultivationCrop,CultivationCrop,HF,ABMI-1025-NE_2017
ABMI-1025-NW,2017,Decid3,Lo,Decid,ABMI-1025-NW_2017
ABMI-1025-SE,2017,CultivationRoughPasture,CultivationRoughPasture,HF,ABMI-1025-SE_2017
ABMI-1025-SW,2017,CultivationRoughPasture,CultivationRoughPasture,HF,ABMI-1025-SW_2017
ABMI-1026-NE,2017,GrassHerb,Lo,Grass,ABMI-1026-NE_2017
ABMI-1026-NW,2017,GrassHerb,Lo,Grass,ABMI-1026-NW_2017
ABMI-1026-SE,2017,GrassHerb,Cy,Grass,ABMI-1026-SE_2017
ABMI-1026-SW,2017,GrassHerb,Cy,Grass,ABMI-1026-SW_2017
ABMI-1027-NE,2017,CultivationCrop,CultivationCrop,HF,ABMI-1027-NE_2017
ABMI-1027-NW,2017,RoadVegetatedVerge,RoadVegetatedVerge,HF,ABMI-1027-NW_2017
ABMI-1027-NW-b,2017,RoadVegetatedVerge,RoadVegetatedVerge,HF,ABMI-1027-NW-b_2017
ABMI-1027-SE,2017,CultivationCrop,CultivationCrop,HF,ABMI-1027-SE_2017
ABMI-1027-SW,2017,CultivationCrop,CultivationCrop,HF,ABMI-1027-SW_2017
ABMI-1028-NE,2018,RoadVegetatedVerge,RoadVegetatedVerge,HF,ABMI-1028-NE_2018
ABMI-1028-NW,2018,CultivationCrop,CultivationCrop,HF,ABMI-1028-NW_2018
ABMI-1028-SE,2018,CultivationAbandoned,CultivationAbandoned,HF,ABMI-1028-SE_2018
ABMI-1028-SW,2018,Marsh,,WetGrass,ABMI-1028-SW_2018
