common_name,gap_group
Badger,3
Beaver,6
Bighorn sheep,1
Bison,1
Black Bear,5
Bobcat,3
Canada Lynx,3
Columbian Ground Squirrel,6
Cougar,4
Coyote,4
Deer,1
Elk (wapiti),1
Fisher,3
Foxes,4
Golden-Mantled Ground Squirrel,6
Gray Squirrel,6
Gray Wolf,4
Grizzly bear,5
Ground squirrel,6
Groundhog,6
Hoary Marmot,6
Least Chipmunk,6
Marten,3
Mink,3
Moose,2
Mountain goat,1
Mule deer,1
Muskrat,6
Northern Flying Squirrel,6
Porcupine,6
Pronghorn,1
Raccoon,3
Red fox,4
Red Squirrel,6
Richardson's Ground Squirrel,6
River Otter,3
Snowshoe Hare,6
Striped Skunk,6
Swift fox,4
"Voles, Mice and Allies",6
Weasels and Ermine,3
White-tailed Deer,1
White-tailed Jack Rabbit,6
Wolverine,3
Woodland Caribou,1
"Wolves, Coyotes and Allies",4
