DeploymentYear,total.spring,total.nov,total.dec,total.jan,total.feb,total.mar
ABMI-1022-NE_2015,78,0,0,0,7,31
ABMI-1022-NW_2015,78,0,0,0,7,31
ABMI-1022-SE_2015,78,0,0,0,7,31
ABMI-1022-SW_2015,78,0,0,0,7,31
ABMI-1023-NE_2015,78,0,0,0,3,31
ABMI-1023-NW_2015,78,0,0,0,3,31
ABMI-1023-SE_2015,78,0,0,0,3,31
ABMI-1023-SW_2015,78,0,0,0,3,31
ABMI-1024-NE_2015,78,0,0,0,4,31
ABMI-1024-NW_2015,78,0,0,0,4,31
ABMI-1024-SW_2015,78,0,0,0,4,31
ABMI-1025-NE_2017,78,0,0,0,12,31
ABMI-1025-NW_2017,78,0,0,0,13,31
ABMI-1025-SE_2017,78,0,0,0,13,31
ABMI-1025-SW_2017,78,0,0,0,12,31
ABMI-1026-NE_2017,78,0,0,0,12,31
ABMI-1026-NW_2017,78,0,0,0,12,31
ABMI-1026-SE_2017,78,0,0,0,12,31
ABMI-1026-SW_2017,78,0,0,0,12,31
ABMI-1027-NE_2017,78,0,0,0,11,31
ABMI-1027-NW_2017,0,0,0,0,4,0
ABMI-1027-NW-b_2017,78,0,0,0,8,31
ABMI-1027-SE_2017,78,0,0,0,11,31
ABMI-1027-SW_2017,78,0,0,0,11,31
ABMI-1028-NE_2018,78,0,0,9,28,31
ABMI-1028-NW_2018,78,0,0,9,28,31
ABMI-1028-SE_2018,78,0,0,9,28,31
ABMI-1028-SW_2018,36,0,0,9,28,31
ABMI-1056-NE_2015,78,0,0,0,6,31
ABMI-1056-NW_2015,60,0,0,0,6,31
ABMI-1056-SE_2015,78,0,0,0,6,31
ABMI-1056-SW_2015,78,0,0,0,6,31
ABMI-1057-NE_2015,78,0,0,0,3,31
ABMI-1057-NW_2015,78,0,0,0,3,31
ABMI-1057-SE_2015,78,0,0,0,3,31
ABMI-1057-SW_2015,78,0,0,0,3,31
ABMI-1058-NE_2015,78,0,0,0,4,31
ABMI-1058-NW_2015,78,0,0,0,4,31
ABMI-1058-SE_2015,78,0,0,0,4,31
ABMI-1058-SW_2015,78,0,0,0,4,31
ABMI-1059-NE_2017,78,0,0,0,11,31
ABMI-1059-NW_2017,78,0,0,0,11,31
ABMI-1059-SE_2017,78,0,0,0,11,31
ABMI-1059-SW_2017,0,0,0,0,11,8
ABMI-1060-NE_2017,78,0,0,0,10,31
ABMI-1060-NW_2017,78,0,0,0,10,31
ABMI-1060-SE_2017,78,0,0,0,10,31
ABMI-1060-SW_2017,78,0,0,0,10,31
ABMI-1061-NE_2017,78,0,0,0,10,31
ABMI-1061-NW_2017,3,0,0,0,10,31
ABMI-1061-SE_2017,78,0,0,0,9,31
ABMI-1061-SW_2017,78,0,0,0,9,31
ABMI-1062-NE_2018,78,0,0,10,28,31
ABMI-1062-NW_2018,37,0,0,10,28,31
ABMI-1062-SE_2018,27,0,0,9,28,31
ABMI-1062-SW_2018,78,0,0,10,28,31
ABMI-1086-NE_2017,78,0,0,0,0,24
ABMI-1086-NW_2017,78,0,0,0,0,24
ABMI-1086-SE_2017,78,0,0,0,0,24
ABMI-1086-SW_2017,78,0,0,0,0,24
ABMI-1088-NE_2017,78,0,0,0,0,13
ABMI-1088-NW_2017,78,0,0,0,0,13
ABMI-1088-SE_2017,78,0,0,0,0,13
ABMI-1088-SW_2017,78,0,0,0,0,13
ABMI-1119-NE_2017,78,0,0,0,0,12
ABMI-1119-NW_2017,78,0,0,0,0,12
ABMI-1119-SE_2017,78,0,0,0,0,12
ABMI-1119-SW_2017,78,0,0,0,0,14
ABMI-1120-NE_2017,78,0,0,0,0,13
ABMI-1120-NW_2017,78,0,0,0,0,13
ABMI-1120-SE_2017,78,0,0,0,0,12
ABMI-1120-SW_2017,78,0,0,0,0,12
ABMI-1121-NE_2017,78,0,0,0,0,1
ABMI-1121-NW_2017,78,0,0,0,0,1
ABMI-1121-SE_2017,78,0,0,0,0,1
ABMI-1121-SW_2017,78,0,0,0,0,1
ABMI-1150-NE_2015,52,0,0,0,0,0
ABMI-1150-NW_2015,52,0,0,0,0,0
ABMI-1150-SE_2015,52,0,0,0,0,0
ABMI-1150-SW_2015,52,0,0,0,0,0
ABMI-1151-NE_2017,78,0,0,0,0,25
ABMI-1151-NW_2017,78,0,0,0,0,25
ABMI-1151-SE_2017,78,0,0,0,0,24
ABMI-1152-NE_2017,78,0,0,0,0,14
ABMI-1152-NW_2017,78,0,0,0,0,14
ABMI-1152-SE_2017,78,0,0,0,0,14
ABMI-1152-SW_2017,78,0,0,0,0,14
ABMI-1153-NE_2017,78,0,0,0,0,15
ABMI-1153-NW_2017,78,0,0,0,0,15
ABMI-1153-SE_2017,78,0,0,0,0,14
ABMI-1153-SW_2017,78,0,0,0,0,15
ABMI-1166-NE_2018,78,30,31,31,28,31
ABMI-1166-NW_2018,78,30,31,31,28,31
ABMI-1166-SE_2018,78,30,31,31,28,31
ABMI-1166-SW_2018,78,30,31,31,28,31
ABMI-1167-NE_2018,78,30,31,31,28,31
ABMI-1167-NW_2018,78,30,31,31,28,31
ABMI-1167-SE_2018,78,30,31,31,28,31
ABMI-1167-SW_2018,78,30,31,31,28,31
ABMI-1178-NE_2017,78,0,0,13,28,31
ABMI-1178-NW_2017,78,0,0,14,28,31
ABMI-1178-SE_2017,78,0,0,13,28,31
ABMI-1178-SW_2017,78,0,0,14,28,31
ABMI-1179-NE_2017,78,0,0,13,28,31
ABMI-1179-NW_2017,78,0,0,13,28,31
ABMI-1179-SE_2017,78,0,0,13,28,31
ABMI-1179-SW_2017,78,0,0,13,28,31
ABMI-1180-NE_2017,78,0,0,11,28,31
ABMI-1180-NW_2017,78,0,0,11,28,31
ABMI-1180-SW_2017,78,0,0,11,28,31
ABMI-1181-NE_2018,78,0,0,0,27,31
ABMI-1181-NW_2018,78,0,0,0,26,31
ABMI-1181-SE_2018,78,0,0,0,27,31
ABMI-1181-SW_2018,78,0,0,0,26,31
ABMI-1182-NE_2018,78,0,0,1,28,31
ABMI-1182-NW_2018,78,0,0,1,28,31
ABMI-1182-SE_2018,78,0,0,2,28,31
ABMI-1182-SW_2018,61,0,0,2,28,31
ABMI-1183-NE_2018,78,0,0,0,28,31
ABMI-1183-NW_2018,78,0,0,0,28,31
ABMI-1183-SE_2018,74,0,0,0,28,31
ABMI-1183-SW_2018,74,0,0,0,28,31
ABMI-1190-NE_2015,78,0,0,0,11,31
ABMI-1190-NW_2015,78,0,0,0,11,31
ABMI-1190-SE_2015,78,0,0,0,11,31
ABMI-1190-SW_2015,78,0,0,0,11,31
ABMI-1191-NW_2015,78,0,0,0,13,31
ABMI-1191-SE_2015,78,0,0,0,13,31
ABMI-1191-SW_2015,78,0,0,0,13,31
ABMI-1192B-NE_2015,69,0,0,0,0,0
ABMI-1192B-NW_2015,69,0,0,0,0,0
ABMI-1192B-SE_2015,69,0,0,0,0,0
ABMI-1192B-SW_2015,69,0,0,0,0,0
ABMI-1193-NE_2017,78,0,0,15,28,31
ABMI-1193-NW_2017,78,0,0,15,28,31
ABMI-1193-SE_2017,78,0,0,15,28,31
ABMI-1193-SW_2017,78,0,0,15,28,31
ABMI-1194-NE_2017,78,0,0,15,28,31
ABMI-1194-NW_2017,78,0,0,14,28,31
ABMI-1194-SE_2017,78,0,0,15,28,31
ABMI-1194-SW_2017,54,0,0,14,28,31
ABMI-1198-NE_2018,0,28,31,16,0,0
ABMI-1198-NW_2018,78,28,31,31,28,31
ABMI-1198-SE_2018,78,28,31,31,28,31
ABMI-1199-NE_2018,78,30,31,31,28,31
ABMI-1199-NW_2018,78,30,31,31,28,31
ABMI-1199-SE_2018,78,30,31,31,28,31
ABMI-1199-SW_2018,78,30,31,31,28,31
ABMI-1200-NE_2018,78,0,0,0,0,24
ABMI-1200-NW_2018,78,0,0,0,0,24
ABMI-1200-SE_2018,78,0,0,0,0,24
ABMI-1200-SW_2018,78,0,0,0,0,23
ABMI-1210-NE_2017,78,0,0,15,28,31
ABMI-1210-NW_2017,78,0,0,15,28,31
ABMI-1210-SE_2017,78,0,0,15,28,31
ABMI-1210-SW_2017,78,0,0,15,28,31
ABMI-1211-NE_2017,78,0,0,14,28,31
ABMI-1211-NW_2017,78,0,0,14,28,31
ABMI-1211-SE_2017,65,0,0,14,28,31
ABMI-1211-SW_2017,78,0,0,14,28,31
ABMI-1212-NE_2017,78,0,0,11,28,31
ABMI-1212-NW_2017,78,0,0,11,28,31
ABMI-1212-SE_2017,78,0,0,11,28,31
ABMI-1212-SW_2017,78,0,0,11,28,31
ABMI-1213-NE_2018,78,0,0,0,26,31
ABMI-1213-NW_2018,40,0,0,0,26,31
ABMI-1213-SE_2018,78,0,0,0,26,31
ABMI-1213-SW_2018,78,0,0,0,26,31
ABMI-1214-NE_2018,78,0,0,0,25,31
ABMI-1214-NW_2018,78,0,0,0,25,31
ABMI-1214-SE_2018,78,0,0,0,25,31
ABMI-1214-SW_2018,78,0,0,0,25,31
ABMI-1215-NE_2018,78,0,0,0,28,31
ABMI-1215-NW_2018,78,0,0,0,27,31
ABMI-1215-SE_2018,78,0,0,0,27,31
ABMI-1215-SW_2018,78,0,0,0,27,31
ABMI-121-NE_2016,9,0,0,0,0,15
ABMI-121-NW_2016,78,0,0,0,0,15
ABMI-121-SE_2016,78,0,0,0,0,15
ABMI-121-SW_2016,78,0,0,0,0,15
ABMI-1222-NE_2015,78,0,0,0,8,31
ABMI-1222-NW_2015,78,0,0,0,8,31
ABMI-1222-SE_2015,78,0,0,0,12,31
ABMI-1222-SW_2015,78,0,0,0,12,31
ABMI-1223-NE_2015,78,0,0,0,12,31
ABMI-1223-NW_2015,78,0,0,0,12,31
ABMI-1223-SE_2015,7,0,0,0,12,31
ABMI-1223-SW_2015,78,0,0,0,12,31
ABMI-1224-NE_2015,78,0,0,0,10,31
ABMI-1224-NW_2015,78,0,0,0,10,31
ABMI-1224-SE_2015,78,0,0,0,10,31
ABMI-1224-SW_2015,78,0,0,0,10,31
ABMI-1225-NE_2017,78,0,0,14,28,31
ABMI-1225-NW_2017,78,0,0,14,28,31
ABMI-1225-SE_2017,78,0,0,14,28,31
ABMI-1225-SW_2017,78,0,0,14,28,31
ABMI-1226-NE_2017,0,0,0,13,28,15
ABMI-1226-NW_2017,78,0,0,11,28,31
ABMI-1226-SE_2017,0,0,0,11,16,0
ABMI-1226-SW_2017,78,0,0,11,28,31
ABMI-1228-NE_2018,78,28,31,31,28,31
ABMI-1228-NW_2018,71,28,31,31,28,31
ABMI-1228-SE_2018,78,28,31,31,28,31
ABMI-1228-SW_2018,52,28,31,31,28,31
ABMI-1229-NE_2018,78,30,31,31,28,31
ABMI-1229-NW_2018,78,30,31,31,28,31
ABMI-1229-SE_2018,78,30,31,31,28,31
ABMI-1229-SW_2018,78,30,31,31,28,31
ABMI-122-NE_2016,78,0,0,0,0,15
ABMI-122-NW_2016,78,0,0,0,0,15
ABMI-122-SE_2016,78,0,0,0,0,15
ABMI-122-SW_2016,78,0,0,0,0,15
ABMI-1230-NE_2018,78,30,31,31,28,31
ABMI-1230-NW_2018,78,30,31,31,28,31
ABMI-1230-SE_2018,78,30,31,31,28,31
ABMI-1230-SW_2018,78,30,31,31,28,31
ABMI-1240-NE_2017,78,0,0,10,28,31
ABMI-1240-NW_2017,78,0,0,10,28,31
ABMI-1240-SE_2017,78,0,0,10,28,31
ABMI-1240-SW_2017,78,0,0,10,28,31
ABMI-1241-NE_2017,78,0,0,12,28,31
ABMI-1241-NW_2017,78,0,0,12,28,31
ABMI-1241-SE_2017,78,0,0,12,28,31
ABMI-1241-SW_2017,78,0,0,12,28,31
ABMI-1242-NE_2017,78,0,0,12,28,31
ABMI-1242-NW_2017,78,0,0,12,28,31
ABMI-1242-SE_2017,46,0,0,12,28,31
ABMI-1242-SE-b_2017,33,0,0,0,0,0
ABMI-1242-SW_2017,78,0,0,12,28,31
ABMI-1243-NE_2018,78,0,0,0,16,31
ABMI-1243-NW_2018,78,0,0,0,21,31
ABMI-1243-SE_2018,78,0,0,0,21,31
ABMI-1243-SW_2018,27,0,0,0,21,31
ABMI-1244-NE_2018,78,0,0,0,22,31
ABMI-1244-NW_2018,78,0,0,0,21,31
ABMI-1244-SE_2018,78,0,0,0,22,31
ABMI-1244-SW_2018,78,0,0,0,21,31
ABMI-1245-NE_2018,58,0,0,1,28,31
ABMI-1245-NW_2018,78,0,0,1,28,31
ABMI-1245-SE_2018,78,0,0,1,28,31
ABMI-1245-SW_2018,78,0,0,1,28,31
ABMI-1252-NE_2015,78,0,0,0,8,31
ABMI-1252-NW_2015,78,0,0,0,9,31
